StationCode,longitude,latitude,geometry
204AMO160,-121.70485,37.62683,"c(-121.70485, 37.62683)"
204AMO180,-121.66948,37.60316,"c(-121.66948, 37.60316)"
204AMO200,-121.5324,37.48213,"c(-121.5324, 37.48213)"
204ARH090,-121.75463,37.45116,"c(-121.75463, 37.45116)"
204AVJ130,-122.14926,37.75314,"c(-122.14926, 37.75314)"
204IND200,-121.7982,37.56223,"c(-121.7982, 37.56223)"
204INDSAR,-121.7993,37.56394,"c(-121.7993, 37.56394)"
204ISL050,-122.44293,37.74169,"c(-122.44293, 37.74169)"
204LACSAC,-121.78083,37.56583,"c(-121.78083, 37.56583)"
204LIO080,-122.18021,37.78223,"c(-122.18021, 37.78223)"
204LIO130,-122.17948,37.79185,"c(-122.17948, 37.79185)"
204LME100,-122.26107,37.81726,"c(-122.26107, 37.81726)"
204PRL020,-122.21812,37.7781,"c(-122.21812, 37.7781)"
204PRL080,-122.19499,37.80263,"c(-122.19499, 37.80263)"
204PS0294,-122.14463,37.68094,"c(-122.14463, 37.68094)"
204SIN300,-121.92492,37.64035,"c(-121.92492, 37.64035)"
204SLE030,-122.18361,37.72556,"c(-122.18361, 37.72556)"
204SLE165,-122.08718,37.79072,"c(-122.08718, 37.79072)"
204SLE170,-122.14472,37.80028,"c(-122.14472, 37.80028)"
204SLE180,-122.14472,37.80111,"c(-122.14472, 37.80111)"
204SLE220,-122.14583,37.81833,"c(-122.14583, 37.81833)"
204SMA020,-122.31861,37.57028,"c(-122.31861, 37.57028)"
204SMA110,-122.35088,37.53233,"c(-122.35088, 37.53233)"
204SMA120,-122.35121,37.53258,"c(-122.35121, 37.53258)"
204SMA180,-122.34309,37.4878,"c(-122.34309, 37.4878)"
204SMC600,-121.67017,37.32471,"c(-121.67017, 37.32471)"
204VAL400,-121.66639,37.47092,"c(-121.66639, 37.47092)"
205AAG075,-121.78352,37.39043,"c(-121.78352, 37.39043)"
205AAG375,-121.73719,37.36018,"c(-121.73719, 37.36018)"
205AAG400,-121.73289,37.37189,"c(-121.73289, 37.37189)"
205COY585,-121.46985,37.09003,"c(-121.46985, 37.09003)"
205COY610,-121.48111,37.1177,"c(-121.48111, 37.1177)"
205COY615,-121.48027,37.12125,"c(-121.48027, 37.12125)"
205COY850,-121.5066,37.18217,"c(-121.5066, 37.18217)"
205COY853,-121.49712,37.17774,"c(-121.49712, 37.17774)"
205COY900,-121.47741,37.17551,"c(-121.47741, 37.17551)"
205COY930,-121.46888,37.18975,"c(-121.46888, 37.18975)"
205CYCBBC,-121.481,37.126,"c(-121.481, 37.126)"
205GCAxxx,-121.87444,37.181,"c(-121.87444, 37.181)"
205LGA700,-121.90318,37.11971,"c(-121.90318, 37.11971)"
205LGAxxx,-121.97942,37.16769,"c(-121.97942, 37.16769)"
205LGBxxx,-121.98694,37.21333,"c(-121.98694, 37.21333)"
205PER020,-122.08663,37.41206,"c(-122.08663, 37.41206)"
205PER030,-122.09877,37.36565,"c(-122.09877, 37.36565)"
205PER040,-122.08656,37.36245,"c(-122.08656, 37.36245)"
205PER050,-122.08617,37.35264,"c(-122.08617, 37.35264)"
205PER080,-122.09381,37.33335,"c(-122.09381, 37.33335)"
205PS0157,-121.83516,37.30143,"c(-121.83516, 37.30143)"
205PS0170,-121.87387,37.36198,"c(-121.87387, 37.36198)"
205PS0173,-121.8847,37.2388,"c(-121.8847, 37.2388)"
205PS0202,-122.0889,37.3456,"c(-122.0889, 37.3456)"
205PS0221,-121.79606,37.26711,"c(-121.79606, 37.26711)"
205PS0234,-121.81412,37.3932,"c(-121.81412, 37.3932)"
205SED075,-122.07503,37.28158,"c(-122.07503, 37.28158)"
205SFC880,-121.68893,37.30676,"c(-121.68893, 37.30676)"
205STE030,-122.06917,37.38658,"c(-122.06917, 37.38658)"
205STE040,-122.06224,37.36474,"c(-122.06224, 37.36474)"
205WUN450,-122.29426,37.44892,"c(-122.29426, 37.44892)"
205WUN550,-122.29852,37.45211,"c(-122.29852, 37.45211)"
206BRC020,-122.15034,37.92779,"c(-122.15034, 37.92779)"
206CALASC,-122.52538,38.363,"c(-122.52538, 38.363)"
206FC1339,-122.59839,38.59731,"c(-122.59839, 38.59731)"
206HCT020,-122.48879,38.47124,"c(-122.48879, 38.47124)"
206NAP700,-122.61277,38.62776,"c(-122.61277, 38.62776)"
206NVCPNP,-122.58879,38.11385,"c(-122.58879, 38.11385)"
206PET010,-122.60322,38.18173,"c(-122.60322, 38.18173)"
206PET060,-122.66415,38.18765,"c(-122.66415, 38.18765)"
206PET070,-122.70437,38.1984,"c(-122.70437, 38.1984)"
206PET090,-122.5777,38.23337,"c(-122.5777, 38.23337)"
206PET130,-122.59433,38.24295,"c(-122.59433, 38.24295)"
206PET150,-122.5835,38.25533,"c(-122.5835, 38.25533)"
206PET220,-122.62795,38.24751,"c(-122.62795, 38.24751)"
206PET265,-122.63268,38.25164,"c(-122.63268, 38.25164)"
206PET280,-122.61928,38.27476,"c(-122.61928, 38.27476)"
206PET350,-122.67676,38.27173,"c(-122.67676, 38.27173)"
206PET360,-122.6805,38.27715,"c(-122.6805, 38.27715)"
206PICARR,-122.39086,38.36138,"c(-122.39086, 38.36138)"
206PIN610,-122.22828,37.97275,"c(-122.22828, 37.97275)"
206PIN825,-122.20152,37.96288,"c(-122.20152, 37.96288)"
206PS0165,-122.56939,38.57322,"c(-122.56939, 38.57322)"
206PS0230,-122.27867,37.95974,"c(-122.27867, 37.95974)"
206RCCBDC,-122.42661,38.35466,"c(-122.42661, 38.35466)"
206SPA100,-122.30829,37.96992,"c(-122.30829, 37.96992)"
206SPA140,-122.16333,37.92194,"c(-122.16333, 37.92194)"
206SPA150,-122.15889,37.92611,"c(-122.15889, 37.92611)"
206SPA160,-122.1525,37.92722,"c(-122.1525, 37.92722)"
206WIL190,-122.22949,37.88444,"c(-122.22949, 37.88444)"
207CE0678,-122.06777,37.97611,"c(-122.06777, 37.97611)"
207KIR090,-121.87983,38.00975,"c(-121.87983, 38.00975)"
207MTD030,-121.96985,37.97156,"c(-121.96985, 37.97156)"
207MTD100,-121.93886,37.9357,"c(-121.93886, 37.9357)"
207MTD117,-121.94421,37.91847,"c(-121.94421, 37.91847)"
207MTD120,-121.942,37.9205,"c(-121.942, 37.9205)"
207MTD130,-121.92226,37.94433,"c(-121.92226, 37.94433)"
207MTD140,-121.92669,37.92084,"c(-121.92669, 37.92084)"
207PS0150,-122.03402,37.86031,"c(-122.03402, 37.86031)"
207PS0241,-122.02288,38.2935,"c(-122.02288, 38.2935)"
207SUI010,-122.10444,38.21833,"c(-122.10444, 38.21833)"
207SUI062,-122.12375,38.27543,"c(-122.12375, 38.27543)"
207SUI110,-122.13858,38.33086,"c(-122.13858, 38.33086)"
207SUI130,-122.1309,38.3478,"c(-122.1309, 38.3478)"
207SUI180,-122.17086,38.35689,"c(-122.17086, 38.35689)"
207SUI210,-122.17444,38.36333,"c(-122.17444, 38.36333)"
207SUI260,-122.14222,38.37528,"c(-122.14222, 38.37528)"
207SUI290,-122.13973,38.37183,"c(-122.13973, 38.37183)"
207WAL412,-122.10192,37.86103,"c(-122.10192, 37.86103)"
207WAL415,-122.1084,37.84789,"c(-122.1084, 37.84789)"
207WAL475,-122.0743,37.82956,"c(-122.0743, 37.82956)"
304ACSDFx,-121.91361,37.08333,"c(-121.91361, 37.08333)"
304PS0146,-121.99474,36.9832,"c(-121.99474, 36.9832)"
304PS0194,-122.234,37.1597,"c(-122.234, 37.1597)"
