StationCode,longitude,latitude,HUC_12,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,SampleID
304SED111,-122.05787,37.02964,180600150203,11161300,T11161300,17682694,17682694,CARBONERA C A SCOTTS VALLEY CA,304SED111_05052007_BMI_RWB_1
304SED111,-122.05787,37.02964,180600150203,11161000,T11161000,17684066,17684066,SAN LORENZO R A SANTA CRUZ CA,304SED111_05052007_BMI_RWB_1
304SOK,-121.95623,36.98014,180600150303,11160000,T11160000,17684378,17684378,SOQUEL C A SOQUEL CA,304SOK_04042007_BMI_RWB_1
304SOQ,-121.95282,36.97343,180600150303,11160000,T11160000,17684378,17684378,SOQUEL C A SOQUEL CA,304SOQ_05052001_BMI_CSBP_Trans_1
304SOU,-121.9453,37.03089,180600150303,11160000,T11160000,17684378,17684378,SOQUEL C A SOQUEL CA,304SOU_05132005_BMI_RWB_1
305CE0062,-121.64383,37.09078,180600020302,11153470,T11153470,17662343,17662343,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,305CE0062_05182004_BMI_RWB_1
305CE0484,-121.66106,37.08939,180600020302,11153470,T11153470,17662343,17662343,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,305CE0484_05182004_BMI_RWB_1
305CRCBVR,-121.80175,36.98975,180600020802,11159200,T11159200,17665491,17665491,CORRALITOS C A FREEDOM CA,305CRCBVR_04291998_BMI_CSBP_Trans_1
305PS0057,-121.51176,36.95204,180600020801,11153650,T11153650,17662927,948060250,LLAGAS C NR GILROY,305PS0057_06162009_BMI_RWB_1
305PS0061,-121.60109,37.0826,180600020302,11153470,T11153470,17662343,17662343,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,305PS0061_06172009_BMI_RWB_1
307CAW135,-121.91717,36.54413,180600060106,11143250,T11143250,17599295,17599295,CARMEL R NR CARMEL CA,307CAW135_06182003_BMI_RWB_1
307CML,-121.91167,36.53637,180600060106,11143250,T11143250,17599295,17599295,CARMEL R NR CARMEL CA,307CML_05052016_BMI_RWB_1
307CMU,-121.72751,36.47435,180600060105,11143200,T11143200,17600477,17600477,CARMEL R A ROBLES DEL RIO CA,307CMU_06162009_BMI_RWB_1
308BSR,-121.84304,36.28659,180600060301,11143000,T11143000,8189809,8189809,BIG SUR R NR BIG SUR CA,308BSR_04222001_BMI_CSBP_Trans_1
308BSU,-121.77222,36.24579,180600060301,11143000,T11143000,8189809,8189809,BIG SUR R NR BIG SUR CA,308BSU_07132010_BMI_RWB_1
308PS0204,-121.79423,36.26011,180600060301,11143000,T11143000,8189809,8189809,BIG SUR R NR BIG SUR CA,308PS0204_05212013_BMI_RWB_1
309LOR,-121.0683,36.26731,180600051004,11151300,T11151300,8205487,8205487,SAN LORENZO C BL BITTERWATER C NR KING CITY CA,309LOR_05292012_BMI_RWB_1
309SED064,-121.09096,35.89448,180600050708,11149900,T11149900,8210533,8210533,SAN ANTONIO R NR LOCKWOOD CA,309SED064_05192007_BMI_RWB_1
309USA,-120.80912,35.8641,180600050806,11150500,T11150500,8211251,8211251,SALINAS R NR BRADLEY CA,309USA_04192000_BMI_CSBP_Trans_1
312SED113,-120.16696,34.84065,180600080303,11138500,T11138500,17625379,17625379,SISQUOC R NR SISQUOC CA,312SED113_05202007_BMI_RWB_1
312SIS,-120.30517,34.8937,180600080404,11140000,T11140000,17625349,17625349,SISQUOC R NR GAREY,312SIS_03242000_BMI_CSBP_Trans_1
312SIV,-120.16754,34.83965,180600080303,11138500,T11138500,17625379,17625379,SISQUOC R NR SISQUOC CA,312SIV_04162008_BMI_RWB_1
314SYC,-120.02651,34.58799,180600100505,11125600,T11125600,17610419,17610419,HILTON CYN C NR SANTA YNEZ CA,314SYC_04152001_BMI_CSBP_Trans_1
314SYL,-120.43045,34.64387,180600100703,11134800,T11134800,17607917,17607917,MIGUELITO C A LOMPOC CA,314SYL_04042002_BMI_CSBP_Trans_1
314SYL,-120.43045,34.64387,180600100703,11133500,T11133500,17608975,948060325,SANTA YNEZ R NR LOMPOC CA,314SYL_04042002_BMI_CSBP_Trans_1
314SYL,-120.43045,34.64387,180600100703,11133000,T11133000,17608975,948060325,SANTA YNEZ R A NARROWS NR LOMPOC CA,314SYL_04042002_BMI_CSBP_Trans_1
314SYL,-120.43045,34.64387,180600100703,11134000,T11134000,17608959,17608959,SANTA YNEZ R A H ST NR LOMPOC CA,314SYL_04042002_BMI_CSBP_Trans_1
314SYP,-119.77625,34.54622,180600100401,11123000,T11123000,17610919,17610919,SANTA YNEZ R BL GIBRALTAR DAM NR SNTA BRB C CA,314SYP_04152001_BMI_CSBP_Trans_1
314WE0677,-120.05303,34.7477,180600100506,11128250,T11128250,17607945,17607945,ALAMO PINTADO C NR SOLVANG CA,314WE0677_07232008_BMI_RWB_1
315MIU,-119.70745,34.44673,180600130203,11119745,T11119745,17595453,17595453,MISSION C A ROCKY NOOK PARK A SANTA BARBARA CA,315MIU_04142001_BMI_CSBP_Trans_1
315MIU,-119.70745,34.44673,180600130203,11119750,T11119750,17595453,17595453,MISSION C NR MISSION ST NR SANTA BARBARA CA,315MIU_04142001_BMI_CSBP_Trans_1
402M00043,-119.34749,34.50161,180701010101,11114495,T11114495,17585808,17585808,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,402M00043_06222016_BMI_RWB_1
402PS0048,-119.40085,34.53077,180701010101,11114495,T11114495,17585808,17585808,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,402PS0048_05212008_BMI_RWB_1
402WE0536,-119.40537,34.5196,180701010101,11114495,T11114495,17585808,17585808,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,402WE0536_06142000_BMI_CSBP_Trans_1
403BA0191,-119.0538,34.36762,180701020901,11113500,T11113500,17573647,17573647,SANTA PAULA CREEK NEAR SANTA PAULA,403BA0191_05142008_BMI_RWB_1
403CE0156,-119.05968,34.37746,180701020901,11113500,T11113500,17573647,17573647,SANTA PAULA CREEK NEAR SANTA PAULA,403CE0156_05182005_BMI_RWB_1
403M01505,-118.92546,34.41709,180701020706,11113000,T11113000,17574345,17574345,SESPE C NR FILLMORE,403M01505_06292015_BMI_RWB_MCM_1
403M05758,-118.61254,34.43484,180701020403,11108500,T11108500,17574705,17574705,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,403M05758_06292015_BMI_RWB_1
403M05758,-118.61254,34.43484,180701020403,11109000,T11109000,17575785,17575785,SANTA CLARA R NR PIRU CA,403M05758_06292015_BMI_RWB_1
403M05774,-118.62067,34.42692,180701020403,11108500,T11108500,17574705,17574705,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,403M05774_06222016_BMI_RWB_1
403M05774,-118.62067,34.42692,180701020403,11109000,T11109000,17575785,17575785,SANTA CLARA R NR PIRU CA,403M05774_06222016_BMI_RWB_1
403S01136,-118.74403,34.62762,180701020602,11109525,T11109525,24858039,24858039,PIRU C BL PYRAMID LK NR GORMAN CA,403S01136_06132011_BMI_RWB_1
403S02363,-119.15456,34.55885,180701020702,11111500,T11111500,17567911,17567911,SESPE CREEK NEAR WHEELER SPRINGS CA,403S02363_06162011_BMI_RWB_1
403S04868,-118.93943,34.40491,180701020706,11113000,T11113000,17574345,17574345,SESPE C NR FILLMORE,403S04868_06152011_BMI_RWB_1
403S06139,-119.2405,34.55464,180701020702,11111500,T11111500,17567911,17567911,SESPE CREEK NEAR WHEELER SPRINGS CA,403S06139_06272012_BMI_RWB_1
403S06660,-118.92373,34.42963,180701020706,11113000,T11113000,17574345,17574345,SESPE C NR FILLMORE,403S06660_06142012_BMI_RWB_1
403S07024,-118.75771,34.6092,180701020602,11109525,T11109525,24858039,24858039,PIRU C BL PYRAMID LK NR GORMAN CA,403S07024_06132012_BMI_RWB_1
403S07227,-119.16664,34.56208,180701020702,11111500,T11111500,17567911,17567911,SESPE CREEK NEAR WHEELER SPRINGS CA,403S07227_06272012_BMI_RWB_1
403SCVARC,-118.5913,34.43125,180701020403,11108500,T11108500,17574705,17574705,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,403SCVARC_09142005_BMI_CSBP_Trans_1
403SCVARC,-118.5913,34.43125,180701020403,11109000,T11109000,17575785,17575785,SANTA CLARA R NR PIRU CA,403SCVARC_09142005_BMI_CSBP_Trans_1
403SED076,-119.16611,34.56182,180701020702,11111500,T11111500,17567911,17567911,SESPE CREEK NEAR WHEELER SPRINGS CA,403SED076_05202007_BMI_RWB_1
403STC004,-118.65583,34.41472,180701020403,11108500,T11108500,17574705,17574705,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,403STC004_10302001_BMI_CSBP_Trans_1
403STC004,-118.65583,34.41472,180701020403,11109000,T11109000,17575785,17575785,SANTA CLARA R NR PIRU CA,403STC004_10302001_BMI_CSBP_Trans_1
403STC009,-118.75889,34.53833,180701020603,11109600,T11109600,17572335,17572335,PIRU CREEK ABOVE LAKE PIRU CA,403STC009_10302001_BMI_CSBP_Trans_1
403STC022,-119.20472,34.555,180701020702,11111500,T11111500,17567911,17567911,SESPE CREEK NEAR WHEELER SPRINGS CA,403STC022_10232001_BMI_CSBP_Trans_1
403STCNRB,-118.70012,34.40138,180701020403,11108500,T11108500,17574705,17574705,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,403STCNRB_10302001_BMI_CSBP_Trans_1
403STCNRB,-118.70012,34.40138,180701020403,11109000,T11109000,17575785,17575785,SANTA CLARA R NR PIRU CA,403STCNRB_10302001_BMI_CSBP_Trans_1
