comid,gageid,refgage
8205489,11152050,Non-Ref
8200795,11152300,Non-Ref
8200523,11152500,Non-Ref
8200523,11152500,Ref
8200677,11152540,Non-Ref
17605309,11152600,Non-Ref
17663037,11153000,Non-Ref
948060250,11153650,Non-Ref
17663007,11154200,Non-Ref
17663791,11157500,Non-Ref
17663791,11157500,Ref
17663521,11158600,Non-Ref
17663281,11159000,Non-Ref
17665491,11159200,Non-Ref
17682316,11160060,Non-Ref
17682446,11160430,Non-Ref
17684066,11161000,Non-Ref
17687547,11162620,Non-Ref
17688275,11162630,Non-Ref
2804039,11162720,Non-Ref
2804039,11162720,Ref
2804621,11162753,Non-Ref
2809149,11162800,Non-Ref
2809149,11162800,Ref
17693217,11164500,Non-Ref
17693219,11166000,Non-Ref
17694137,11169000,Non-Ref
17694137,11169025,Non-Ref
17693069,11169500,Non-Ref
17695611,11172175,Non-Ref
2807009,11173500,Non-Ref
2806979,11173510,Non-Ref
2806865,11173575,Non-Ref
2806745,11174000,Non-Ref
2806597,11176000,Non-Ref
2808553,11176500,Non-Ref
2806611,11176900,Non-Ref
2806611,11177000,Non-Ref
2806725,11179000,Non-Ref
2805109,11180700,Non-Ref
2803935,11180900,Non-Ref
2803985,11181008,Non-Ref
2804929,11181040,Non-Ref
1671927,11182030,Non-Ref
1671927,11182030,Ref
948050140,11182800,Non-Ref
2789571,11183600,Non-Ref
14971773,11185500,Non-Ref
14971711,11186000,Non-Ref
14971711,11186001,Non-Ref
14972877,11187000,Non-Ref
14940680,11187500,Non-Ref
14961121,11189500,Non-Ref
14940676,11191000,Non-Ref
14943860,11192000,Non-Ref
14940950,11192500,Non-Ref
14940950,11192501,Non-Ref
14946890,11192940,Non-Ref
14946890,11192950,Non-Ref
17173722,11193010,Non-Ref
17173722,11193020,Non-Ref
17173722,11193030,Non-Ref
17173722,11193031,Non-Ref
17173722,11193032,Non-Ref
14934716,11200800,Non-Ref
14930941,11201450,Non-Ref
14930951,11201700,Non-Ref
14930339,11202000,Non-Ref
14930339,11202001,Non-Ref
14930953,11202700,Non-Ref
14930953,11202710,Non-Ref
14930351,11202711,Non-Ref
14930957,11202838,Non-Ref
14930957,11202838,Ref
14930547,11203220,Non-Ref
14930723,11204500,Non-Ref
17159708,11204900,Non-Ref
948030127,11206000,Non-Ref
948030127,11206500,Non-Ref
948030127,11206501,Non-Ref
14918005,11207500,Non-Ref
14918005,11208001,Non-Ref
14922135,11208565,Non-Ref
14922147,11208600,Non-Ref
14922311,11208730,Non-Ref
14922197,11208800,Non-Ref
14922227,11208818,Non-Ref
14922415,11210100,Non-Ref
17192788,11210950,Non-Ref
17152974,11211300,Non-Ref
22048993,11214600,Non-Ref
22057895,11215000,Non-Ref
22050443,11216050,Non-Ref
22050443,11216050,Ref
22050473,11216200,Non-Ref
22057159,11216300,Non-Ref
22050467,11216400,Non-Ref
22050465,11216500,Non-Ref
22057161,11218400,Non-Ref
22050527,11218501,Non-Ref
17149774,11221500,Non-Ref
17149774,11221500,Ref
14907219,11221700,Non-Ref
17119593,11229500,Non-Ref
17119593,11229500,Ref
17118415,11230200,Non-Ref
948040328,11230215,Non-Ref
