metric,status_code,status,alteration_type,median_in_iqr,comid,gage_id
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,2775196,11403200
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,2775196,11403200
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,2775196,11403200
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,2775196,11403200
Peak_Dur_5,-1,likely_altered,high,FALSE,2775196,11403200
Peak_10,1,likely_unaltered,none_found,FALSE,2775196,11403200
Peak_2,1,likely_unaltered,none_found,FALSE,2775196,11403200
Peak_5,1,likely_unaltered,none_found,FALSE,2775196,11403200
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,2775196,11403200
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,2775196,11403200
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,2775196,11403200
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,2775564,11404300
DS_Tim,1,likely_unaltered,none_found,TRUE,2775564,11404300
DS_Mag_50,1,likely_unaltered,none_found,FALSE,2775564,11404300
DS_Mag_90,-1,likely_altered,low,FALSE,2775564,11404300
FA_Dur,1,likely_unaltered,none_found,TRUE,2775564,11404300
FA_Mag,1,likely_unaltered,none_found,TRUE,2775564,11404300
FA_Tim,-1,likely_altered,late,FALSE,2775564,11404300
Wet_Tim,0,indeterminate,unknown,TRUE,2775564,11404300
SP_ROC,1,likely_unaltered,none_found,TRUE,2775564,11404300
SP_Mag,1,likely_unaltered,none_found,TRUE,2775564,11404300
SP_Tim,1,likely_unaltered,none_found,FALSE,2775564,11404300
Wet_BFL_Dur,-1,likely_altered,low,FALSE,2775564,11404300
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,2775564,11404300
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,2775564,11404300
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_10,1,likely_unaltered,none_found,FALSE,2775564,11404300
Peak_2,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_5,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,2775564,11404300
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,2775564,11404300
DS_Dur_WS,-1,likely_altered,low,FALSE,15022679,11447360
DS_Tim,1,likely_unaltered,none_found,TRUE,15022679,11447360
DS_Mag_50,1,likely_unaltered,none_found,FALSE,15022679,11447360
DS_Mag_90,1,likely_unaltered,none_found,TRUE,15022679,11447360
FA_Dur,1,likely_unaltered,none_found,TRUE,15022679,11447360
FA_Mag,1,likely_unaltered,none_found,TRUE,15022679,11447360
FA_Tim,1,likely_unaltered,none_found,FALSE,15022679,11447360
Wet_Tim,1,likely_unaltered,none_found,FALSE,15022679,11447360
SP_ROC,-1,likely_altered,high,FALSE,15022679,11447360
SP_Mag,1,likely_unaltered,none_found,TRUE,15022679,11447360
SP_Tim,1,likely_unaltered,none_found,FALSE,15022679,11447360
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,15022679,11447360
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,15022679,11447360
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,15022679,11447360
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,15022679,11447360
