"objectid","stationcode","pgroup1","pgroup2","pgroup3","pgroup4","pgroup5","pgroup6","pgroup7","pgroup8","pgroup9","pgroup10","pgroup11","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
2690,"206PET280",0.0087,0.0294,0.2306,0.2357,6e-04,0.0084,0.0021,0.1084,0.1916,0.0999,0.0846,"","human","SMC","2018-09-05 00:00:00","false","{93618378-7230-4ADE-BFC8-C7B30114D5A2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2691,"536CE0106",0.2012,0.1119,9e-04,0.6529,0.0067,0.0175,5e-04,0.0038,0.004,1e-04,5e-04,"","human","SMC","2018-09-05 00:00:00","false","{CE7168A2-5EFF-4831-B061-1C731BF5F644}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2692,"634PS0131",0.0254,0.3244,3e-04,0.0014,0.0156,0.0184,0.438,0.0932,0.0814,0,0.0019,"","human","SMC","2018-09-05 00:00:00","false","{D28E1915-9CB9-4417-9EAA-C3F5B248325A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2693,"603OAK001",0.0259,0.2325,0.0138,0.1075,0.0041,0.0345,0.0032,0.1987,0.0518,0.182,0.146,"","human","SMC","2018-09-05 00:00:00","false","{B240E28B-D7A8-4D22-AE6B-49FCEB747A9F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2694,"110CE0485",0.311,0.1944,0.0891,0.1031,0.0848,0.1119,0.0149,0.0118,0.0255,0.0239,0.0296,"","human","SMC","2018-09-05 00:00:00","false","{EC02A47B-9B1D-4372-9809-FA9D0658FF97}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2696,"506PS0003",0.1105,0.002,0.3265,0.5021,0.0046,0.0175,0,0.0302,3e-04,0.0053,0.001,"","machine","SWAMP","","false","{692CF9C6-FE26-49F5-A724-917B2B713EF5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2697,"509PS0085",0.0554,0.1325,0.0086,0.0347,0.7227,0.0329,0.0049,0.0044,1e-04,0.0035,3e-04,"","machine","SWAMP","","false","{FD559D5F-F781-450E-AED0-BE7E6F33BC4B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2698,"801S05127",6e-04,0.0546,0.0048,0.0251,0.028,0.0156,0.0016,0.6301,0.0345,0.1437,0.0614,"","human","SMC","2018-09-05 00:00:00","true","{BC4A907E-302F-43AC-940C-DC8263FC2BC7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2699,"520SQCWGx",0.0399,0.054,0.0712,0.6423,0.02,0.028,2e-04,0.074,0.0026,0.0669,9e-04,"","human","SMC","2018-09-05 00:00:00","false","{897042DD-FA59-45A4-901C-11BCBBACE34F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2701,"408PS0032",2e-04,0.0203,0.0037,0.0625,0.0081,0.0055,1e-04,0.3168,0.06,0.4477,0.0751,"","machine","SWAMP","","true","{FDB8C2D9-8D4F-4DAB-A661-C66792465486}",NA,NA,NA,NA,NA,NA,NA,NA,NA
