ID,x,y,ward
11022500,32.82477143,-117.0555858,10
11023000,32.76504998,-117.1686449,10
11025500,33.1069866,-116.866137,6
11026000,33.08615349,-116.9164166,6
11027000,33.11587431,-116.9530841,5
11028500,33.0522655,-116.9455844,10
11039100,33.36253264,-117.0494735,6
11039800,33.34058822,-117.1314207,7
11040000,33.33725495,-117.1361431,7
11040200,33.229203,-117.0366967,10
11041000,33.25364594,-117.2475354,10
11042000,33.21809119,-117.3603162,10
11042400,33.45919759,-116.9236357,4
11042631,33.46416667,-117.1238889,4
11042700,33.55558075,-117.2314239,10
11042800,33.53224867,-117.1769771,5
11042900,33.52447127,-117.1647544,10
11043000,33.47975066,-117.1439203,10
11044000,33.47391752,-117.1422536,10
11044250,33.40753006,-117.200867,10
11044300,33.41364059,-117.2411462,10
11044350,33.42447348,-117.249202,10
11044500,33.39836319,-117.2630914,10
11044800,33.4197511,-117.3217044,10
11044900,33.3697528,-117.3225376,10
11045300,33.34697584,-117.3178152,10
11046090,33.31864303,-117.4378185,6
11046100,33.29225499,-117.4567077,6
11046200,33.3897515,-117.514766,6
11046250,33.38391854,-117.5742128,4
11046350,33.44919422,-117.5711578,4
11046360,33.42641717,-117.5703242,4
11046530,33.5025264,-117.6481058,10
11047000,33.52669241,-117.6697733,10
11047200,33.55808028,-117.6767179,9
11047300,33.49835999,-117.6658843,10
11047500,33.62613356,-117.6850513,9
11047700,33.51197121,-117.747832,9
11048500,33.68168682,-117.8094992,10
11048550,33.672798,-117.8358888,9
11048600,33.64502095,-117.8611673,9
11051499,34.10834489,-117.1005912,3
11051500,34.10834489,-117.1005911,3
11054000,34.09084538,-117.0375325,3
11055500,34.11834458,-117.141704,3
11055800,34.1438992,-117.1886507,2
11056000,34.08195723,-117.2558749,3
11056200,34.07056863,-117.2789312,3
11056500,34.0291802,-116.946137,2
11057000,34.03307017,-117.2089279,3
11057500,34.0614024,-117.2675419,3
11058500,34.17917556,-117.2655982,2
11060300,34.09723406,-117.3139326,3
11060400,34.07834596,-117.3003209,3
11062000,34.2122298,-117.458105,2
11063500,34.2663946,-117.4639388,2
11063510,34.2633392,-117.4669944,3
11063680,34.20834107,-117.331434,3
11065000,34.07890146,-117.3055989,3
11067000,34.18500809,-117.539774,2
11067890,33.92834791,-117.5964401,10
11069500,33.73807629,-116.8339098,4
11070000,33.69446686,-116.8508549,4
11070050,33.7344653,-116.8933556,10
11070210,33.83974065,-117.135866,10
11070365,33.74613114,-117.231703,10
11070375,33.73613136,-117.2530929,10
11070465,33.6941882,-117.2055903,10
11070475,33.67835518,-117.235036,10
11070500,33.66418858,-117.293927,10
11072100,33.88918212,-117.5628274,10
11073000,34.21556184,-117.6686665,2
11073300,34.01862319,-117.7306118,3
11073360,34.00390144,-117.7270006,3
11073495,33.9827912,-117.5994966,9
11075720,33.91334748,-117.8425584,10
11075740,33.88945908,-117.8453358,10
11075800,33.71279725,-117.6450497,4
11077500,33.7702946,-117.8845014,10
11078000,33.75112815,-117.9083906,10
11085000,34.11223019,-117.9695092,2
11086000,34.1583404,-117.8286711,2
11086300,34.15278536,-117.7725581,2
11086400,34.14528558,-117.7767249,2
11086990,34.0319553,-118.0120106,9
11087020,34.03417767,-118.0381225,3
11087500,34.01306761,-118.0642344,3
11088000,33.81196059,-118.0908983,3
11088500,33.88779206,-117.9264496,10
11089000,33.87362567,-117.9258937,10
11089500,33.89584765,-117.8861706,9
11090000,33.87279245,-117.9070042,9
11090200,33.86251474,-117.9328381,9
11090500,33.83890426,-118.0603421,9
11090700,33.81057157,-118.0753421,9
11092450,34.16167247,-118.466749,9
11093000,34.33527727,-118.398137,2
11097000,34.25361395,-118.38897,3
11097500,34.08112164,-118.2275735,3
11098500,33.94945899,-118.1739592,3
11101000,34.1936162,-118.1045143,3
11101250,34.05834368,-118.0717348,3
