objectid,siteno,sitename,longdd,latdd,point_x,point_y,category,agency,cl_kpam9,cl_vei8,cl_kmean8,cl_kmeans7,kmeans7_al,kmed_7,geometry
57,11226500,SAN JOAQUIN R A MILLER CROSSING CA,-119.1973476,37.51049707,-119.1973476,37.51049707, , ,1,1,1,5,1,1,"c(-119.1973476, 37.51049707)"
58,11230500,BEAR C NR LAKE THOMAS A EDISON CA,-118.9734513,37.3393863,-118.9734513,37.3393863, , ,1,1,1,5,1,1,"c(-118.9734513, 37.3393863)"
59,11237500,PITMAN C BL TAMARACK C CA,-119.2137328,37.19855659,-119.2137328,37.19855659, , ,1,1,5,5,1,4,"c(-119.2137328, 37.19855659)"
60,11253310,CANTUA C NR CANTUA CREEK CA,-120.4334917,36.40217399,-120.4334917,36.40217399, , ,6,5,6,1,3,4,"c(-120.4334917, 36.40217399)"
61,11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,-119.5590514,37.73131496,-119.5590514,37.73131496, , ,1,1,1,5,1,1,"c(-119.5590514, 37.73131496)"
62,11281000,SF TUOLUMNE R NR OAKLAND RECREATION CAMP CA,-120.0129616,37.82159266,-120.0129616,37.82159266, , ,5,4,5,3,5,3,"c(-120.0129616, 37.82159266)"
63,11282000,M TUOLUMNE R A OAKLAND RECREATION CAMP CA,-120.0115727,37.82825915,-120.0115727,37.82825915, , ,5,1,5,3,1,2,"c(-120.0115727, 37.82825915)"
64,11283500,CLAVEY R NR BUCK MEADOWS CA,-120.0718517,37.90048017,-120.0718517,37.90048017, , ,5,1,5,3,1,3,"c(-120.0718517, 37.90048017)"
65,11292500,CLARK FORK STANISLAUS R NR DARDANELLE CA,-119.8712915,38.36380105,-119.8712915,38.36380105, , ,1,1,1,5,1,2,"c(-119.8712915, 38.36380105)"
66,11293500,NF STANISLAUS R BL SILVER C CA,-120.015741,38.4393563,-120.015741,38.4393563, , ,1,1,5,5,1,2,"c(-120.015741, 38.4393563)"
67,11294000,HIGHLAND C BL SPICER MEADOWS RES CA,-119.9990737,38.3929682,-119.9990737,38.3929682, , ,1,1,5,5,1,3,"c(-119.9990737, 38.3929682)"
68,11315000,COLE C NR SALT SPRINGS DAM CA,-120.2126928,38.5190783,-120.2126928,38.5190783, , ,4,1,5,3,1,2,"c(-120.2126928, 38.5190783)"
69,11316800,FOREST C NR WILSEYVILLE CA,-120.4468676,38.40324566,-120.4468676,38.40324566, , ,3,2,2,4,2,3,"c(-120.4468676, 38.40324566)"
70,11342000,SACRAMENTO R A DELTA CA,-122.4172351,40.93959397,-122.4172351,40.93959397, , ,7,4,8,3,5,3,"c(-122.4172351, 40.93959397)"
71,11355500,HAT C NR HAT CREEK CA,-121.4246992,40.68654984,-121.4246992,40.68654984, , ,2,1,1,3,1,4,"c(-121.4246992, 40.68654984)"
72,11367500,MCCLOUD R NR MCCLOUD CA,-122.065557,41.18821296,-122.065557,41.18821296, , ,2,3,2,4,2,2,"c(-122.065557, 41.18821296)"
73,11371000,CLEAR C A FRENCH GULCH CA,-122.6366845,40.6948699,-122.6366845,40.6948699, , ,3,2,2,4,2,3,"c(-122.6366845, 40.6948699)"
74,11379500,ELDER C NR PASKENTA CA,-122.5119462,40.02376507,-122.5119462,40.02376507, , ,4,4,3,6,5,2,"c(-122.5119462, 40.02376507)"
75,11381500,MILL C NR LOS MOLINOS CA,-122.0241541,40.0546022,-122.0241541,40.0546022, , ,7,4,8,3,5,3,"c(-122.0241541, 40.0546022)"
76,11191000,KERN R BL ISABELLA DAM CA,-118.4848082,35.6391193,-118.4848082,35.6391193,ST,USGS,2,1,5,5,1,3,"c(-118.4848082, 35.6391193)"
77,11204900,TULE R BL SUCCESS DAM CA,-118.9237086,36.05633997,-118.9237086,36.05633997,ST,USGS,1,4,1,3,1,1,"c(-118.9237086, 36.05633997)"
78,11210950,KAWEAH R BL TERMINUS DAM CA,-119.0126028,36.4141157,-119.0126028,36.4141157,ST,USGS,1,1,1,3,1,5,"c(-119.0126028, 36.4141157)"
79,11221500,KINGS R BL PINE FLAT DAM CA,-119.3362347,36.8305045,-119.3362347,36.8305045,ST,USGS,9,8,7,2,7,1,"c(-119.3362347, 36.8305045)"
80,11251000,SAN JOAQUIN R BL FRIANT CA,-119.7243124,36.98439397,-119.7243124,36.98439397,ST,USGS,9,8,7,2,7,4,"c(-119.7243124, 36.98439397)"
81,11270900,MERCED R BL MERCED FALLS DAM NR SNELL CA,-120.3324114,37.5216029,-120.3324114,37.5216029,ST,USGS,5,8,7,2,7,1,"c(-120.3324114, 37.5216029)"
82,11289660,TUOLUMNE R A LA GRANGE BRIDGE AT LA GRANGE CA,-120.46214,37.66576548,-120.46214,37.66576548,ST,USGS,9,8,7,2,7,1,"c(-120.46214, 37.66576548)"
83,11299500,STANISLAUS R BL MELONES PH NR SONORA CA,-120.5301993,37.94714745,-120.5301993,37.94714745,ST,USGS,9,8,7,2,7,3,"c(-120.5301993, 37.94714745)"
84,11302000,STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA,-120.6379816,37.85159385,-120.6379816,37.85159385,ST,USGS,9,8,7,2,7,3,"c(-120.6379816, 37.85159385)"
85,11308900,CALAVERAS R BL NEW HOGAN DAM NR VALLEY SPRINGS CA,-120.8249362,38.14797568,-120.8249362,38.14797568,ST,USGS,4,4,8,8,7,2,"c(-120.8249362, 38.14797568)"
86,11319500,MOKELUMNE R NR MOKELUMNE HILL CA,-120.7202112,38.3126926,-120.7202112,38.3126926,ST,USGS,9,1,7,2,7,3,"c(-120.7202112, 38.3126926)"
87,11335000,COSUMNES R A MICHIGAN BAR CA,-121.0452212,38.50018619,-121.0452212,38.50018619,ST,USGS,4,3,5,8,1,3,"c(-121.0452212, 38.50018619)"
88,11377100,SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA,-122.1866645,40.28848836,-122.1866645,40.28848836,ST,USGS,8,7,4,7,6,2,"c(-122.1866645, 40.28848836)"
89,11406999,FEATHER R A OROVILLE R ONLY CA,-121.5477477,39.52155294,-121.5477477,39.52155294,ST,USGS,9,7,7,2,4,6,"c(-121.5477477, 39.52155294)"
90,11421500,YUBA R A MARYSVILLE CA,-121.5774654,39.1443365,-121.5774654,39.1443365,ST,USGS,9,8,7,2,7,6,"c(-121.5774654, 39.1443365)"
91,11446220,AMERICAN R BL FOLSOM DAM NR FOLSOM CA,-121.1675,38.6883333,-121.1675,38.6883333,ST,USGS,9,8,7,2,7,6,"c(-121.1675, 38.6883333)"
92,11525500,TRINITY R A LEWISTON CA,-122.801111,40.7247222,-122.801111,40.7247222,ST,USGS,9,8,7,2,7,7,"c(-122.801111, 40.7247222)"
93,404259122252501,SACRAMENTO R BL SHASTA DAM CA,-122.4247333,40.71626056,-122.4247333,40.71626056,ST,USGS,8,7,4,7,6,7,"c(-122.4247333, 40.71626056)"
